SA1_7DIGITCODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
4112704,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,10,3,0,16
4112705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
4112706,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,8,0,10
4112707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11
4112708,0,0,0,0,0,0,0,0,0,4,4,0,9,4,0,3,14,5,0,22
4112709,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,6,0,9
4112710,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,4,0,11
4112711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4112712,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,9,0,14
4112713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
